sample,moran_I,p_value
1,0.24854215436913876,0.001
2,0.22769173505753518,0.001
3,0.43026561029304444,0.001
4,0.43058501052601633,0.001
5,0.4620598955894304,0.001
6,0.4902289919041089,0.001
7,0.5369934697818641,0.001
8,0.6524042509518129,0.001
9,0.518427995067028,0.001
10,0.5652806299380503,0.001
11,0.5469662880338739,0.001
12,0.6083739789079792,0.001
13,0.6074794099795836,0.001
14,0.6376012908862707,0.001
15,0.718888362152172,0.001
16,0.7307598163288771,0.001
17,0.6425502501011173,0.001
18,0.6756530927686804,0.001
